Chance of Admit,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research
MED,314,107,2,2.5,4,8.27,0
LOW,305,102,2,2,2.5,8.18,0
MED,315,104,3,3,2.5,8.33,0
HIGH,326,116,3,3.5,4,9.14,1
LOW,299,100,3,2,2,8.02,0
MED,295,101,2,2.5,2,7.86,0
HIGH,324,112,4,4,3.5,8.77,1
LOW,297,96,2,2.5,1.5,7.89,0
HIGH,327,113,3,3.5,3,8.66,1
MED,311,105,2,3,2,8.12,1
MED,308,106,3,3.5,2.5,8.21,1
MED,319,108,3,3,3.5,8.54,1
MED,312,107,4,4.5,4,8.65,1
HIGH,325,111,4,4,4.5,9.11,1
MED,319,110,3,3,2.5,8.79,0
HIGH,332,118,5,5,5,9.47,1
HIGH,323,108,5,4,4,8.74,1
HIGH,324,107,5,3.5,4,8.66,1
MED,312,107,3,3,3,8.46,1
HIGH,326,110,3,3.5,3.5,8.76,1
LOW,308,106,3,3,3,8.24,0
LOW,305,103,2,2.5,3.5,8.13,0
LOW,295,96,2,1.5,2,7.34,0
LOW,316,98,1,1.5,2,7.43,0
LOW,304,97,2,1.5,2,7.64,0
LOW,299,94,1,1,1,7.34,0
LOW,302,99,1,2,2,7.25,0
LOW,313,101,3,2.5,3,8.04,0
MED,318,107,3,3,3.5,8.27,1
MED,325,110,4,3.5,4,8.67,1
LOW,303,100,2,3,3.5,8.06,1
LOW,300,102,3,3.5,2.5,8.17,0
LOW,297,98,2,2.5,3,7.67,0
MED,317,106,2,2,3.5,8.12,0
HIGH,327,109,3,3.5,4,8.77,1
MED,301,104,2,3.5,3.5,7.89,1
MED,314,105,2,2.5,2,7.64,0
HIGH,321,107,2,2,1.5,8.44,0
HIGH,322,110,3,4,5,8.64,1
HIGH,334,116,4,4,3.5,9.54,1
HIGH,338,115,5,4.5,5,9.23,1
MED,306,103,2,2.5,3,8.36,0
MED,313,102,3,3.5,4,8.9,1
HIGH,330,114,4,4.5,3,9.17,1
MED,320,104,3,3.5,4.5,8.34,1
LOW,311,98,1,1,2.5,7.46,0
LOW,298,92,1,2,2,7.88,0
MED,301,98,1,2,3,8.03,1
MED,310,103,2,2.5,2.5,8.24,0
HIGH,324,110,3,3.5,3,9.22,1
HIGH,336,119,4,4.5,4,9.62,1
HIGH,321,109,3,3,3,8.54,1
LOW,315,105,2,2,2.5,7.65,0
LOW,304,101,2,2,2.5,7.66,0
LOW,297,96,2,2.5,2,7.43,0
LOW,290,100,1,1.5,2,7.56,0
LOW,303,98,1,2,2.5,7.65,0
MED,311,99,1,2.5,3,8.43,1
MED,322,104,3,3.5,4,8.84,1
MED,319,105,3,3,3.5,8.67,1
HIGH,324,110,4,4.5,4,9.15,1
LOW,300,100,3,3,3.5,8.26,0
HIGH,340,113,4,5,5,9.74,1
HIGH,335,117,5,5,5,9.82,1
LOW,302,101,2,2.5,3.5,7.96,0
LOW,307,105,2,2,3.5,8.1,0
LOW,296,97,2,1.5,2,7.8,0
MED,320,108,3,3.5,4,8.44,1
LOW,314,102,2,2,2.5,8.24,0
MED,318,106,3,2,3,8.65,0
HIGH,326,112,4,4,3.5,9.12,1
MED,317,104,2,3,3,8.76,0
HIGH,329,111,4,4.5,4,9.23,1
HIGH,324,110,3,3.5,3.5,9.04,1
HIGH,325,107,3,3,3.5,9.11,1
HIGH,330,116,4,5,4.5,9.45,1
MED,312,103,3,3.5,4,8.78,0
HIGH,333,117,4,5,4,9.66,1
HIGH,337,118,4,4.5,4.5,9.65,1
MED,324,107,4,4,4.5,8.87,1
MED,316,104,3,3,3.5,8,1
HIGH,322,110,3,3.5,2.5,8.67,1
LOW,314,103,2,2,3,8.21,0
HIGH,330,115,5,4.5,3,9.34,1
MED,321,109,3,3,4,8.2,1
MED,308,101,2,3,4,7.9,0
LOW,302,102,1,2,1.5,8,0
LOW,323,108,3,3.5,3,8.6,0
LOW,325,106,3,3.5,4,8.4,1
HIGH,327,111,4,4,4.5,9,1
MED,328,112,4,4,4.5,9.1,1
LOW,307,109,3,4,3,8,1
LOW,311,104,3,3.5,2,8.2,1
LOW,314,105,3,3.5,2.5,8.3,0
LOW,317,107,3,4,3,8.7,0
LOW,319,106,3,4,3,8,1
LOW,318,110,3,4,3,8.8,0
LOW,303,102,3,3.5,3,8.5,0
LOW,312,107,3,3,2,7.9,1
MED,325,114,4,3,2,8.4,0
HIGH,328,116,5,5,5,9.5,1
HIGH,334,119,5,5,4.5,9.7,1
HIGH,336,119,5,4,3.5,9.8,1
HIGH,340,120,5,4.5,4.5,9.6,1
MED,322,109,5,4.5,3.5,8.8,0
LOW,298,98,2,1.5,2.5,7.5,1
LOW,295,93,1,2,2,7.2,0
LOW,310,99,2,1.5,2,7.3,0
LOW,300,97,2,3,3,8.1,1
MED,327,103,3,4,4,8.3,1
HIGH,338,118,4,3,4.5,9.4,1
HIGH,340,114,5,4,4,9.6,1
HIGH,331,112,5,4,5,9.8,1
HIGH,320,110,5,5,5,9.2,1
LOW,299,106,2,4,4,8.4,0
LOW,300,105,1,1,2,7.8,0
LOW,304,105,1,3,1.5,7.5,0
LOW,307,108,2,4,3.5,7.7,0
LOW,308,110,3,3.5,3,8,1
LOW,316,105,2,2.5,2.5,8.2,1
LOW,313,107,2,2.5,2,8.5,1
HIGH,332,117,4,4.5,4,9.1,0
HIGH,326,113,5,4.5,4,9.4,1
HIGH,322,110,5,5,4,9.1,1
HIGH,329,114,5,4,5,9.3,1
HIGH,339,119,5,4.5,4,9.7,0
HIGH,321,110,3,3.5,5,8.85,1
MED,327,111,4,3,4,8.4,1
MED,313,98,3,2.5,4.5,8.3,1
LOW,312,100,2,1.5,3.5,7.9,1
MED,334,116,4,4,3,8,1
MED,324,112,4,4,2.5,8.1,1
MED,322,110,3,3,3.5,8,0
LOW,320,103,3,3,3,7.7,0
LOW,316,102,3,2,3,7.4,0
LOW,298,99,2,4,2,7.6,0
LOW,300,99,1,3,2,6.8,1
LOW,311,104,2,2,2,8.3,0
LOW,309,100,2,3,3,8.1,0
LOW,307,101,3,4,3,8.2,0
LOW,304,105,2,3,3,8.2,1
LOW,315,107,2,4,3,8.5,1
LOW,325,111,3,3,3.5,8.7,0
LOW,325,112,4,3.5,3.5,8.92,0
LOW,327,114,3,3,3,9.02,0
LOW,316,107,2,3.5,3.5,8.64,1
MED,318,109,3,3.5,4,9.22,1
MED,328,115,4,4.5,4,9.16,1
HIGH,332,118,5,5,5,9.64,1
HIGH,336,112,5,5,5,9.76,1
HIGH,321,111,5,5,5,9.45,1
HIGH,314,108,4,4.5,4,9.04,1
MED,314,106,3,3,5,8.9,0
MED,329,114,2,2,4,8.56,1
MED,327,112,3,3,3,8.72,1
LOW,301,99,2,3,2,8.22,0
LOW,296,95,2,3,2,7.54,1
LOW,294,93,1,1.5,2,7.36,0
LOW,312,105,3,2,3,8.02,1
HIGH,340,120,4,5,5,9.5,1
HIGH,320,110,5,5,4.5,9.22,1
HIGH,322,115,5,4,4.5,9.36,1
HIGH,340,115,5,4.5,4.5,9.45,1
MED,319,103,4,4.5,3.5,8.66,0
MED,315,106,3,4.5,3.5,8.42,0
LOW,317,107,2,3.5,3,8.28,0
LOW,314,108,3,4.5,3.5,8.14,0
MED,316,109,4,4.5,3.5,8.76,1
LOW,318,106,2,4,4,7.92,1
LOW,299,97,3,5,3.5,7.66,0
LOW,298,98,2,4,3,8.03,0
LOW,301,97,2,3,3,7.88,1
LOW,303,99,3,2,2.5,7.66,0
LOW,304,100,4,1.5,2.5,7.84,0
LOW,306,100,2,3,3,8,0
HIGH,331,120,3,4,4,8.96,1
HIGH,332,119,4,5,4.5,9.24,1
HIGH,323,113,3,4,4,8.88,1
MED,322,107,3,3.5,3.5,8.46,1
LOW,312,105,2,2.5,3,8.12,0
LOW,314,106,2,4,3.5,8.25,0
LOW,317,104,2,4.5,4,8.47,0
MED,326,112,3,3.5,3,9.05,1
MED,316,110,3,4,4.5,8.78,1
HIGH,329,111,4,4.5,4.5,9.18,1
HIGH,338,117,4,3.5,4.5,9.46,1
HIGH,331,116,5,5,5,9.38,1
MED,304,103,5,5,4,8.64,0
LOW,305,108,5,3,3,8.48,0
MED,321,109,4,4,4,8.68,1
LOW,301,107,3,3.5,3.5,8.34,1
MED,320,110,2,4,3.5,8.56,0
LOW,311,105,3,3.5,3,8.45,1
LOW,310,106,4,4.5,4.5,9.04,1
LOW,299,102,3,4,3.5,8.62,0
LOW,290,104,4,2,2.5,7.46,0
LOW,296,99,2,3,3.5,7.28,0
MED,327,104,5,3,3.5,8.84,1
HIGH,335,117,5,5,5,9.56,1
HIGH,334,119,5,4.5,4.5,9.48,1
LOW,310,106,4,1.5,2.5,8.36,0
LOW,308,108,3,3.5,3.5,8.22,0
LOW,301,106,4,2.5,3,8.47,0
LOW,300,100,3,2,3,8.66,1
HIGH,323,113,3,4,3,9.32,1
MED,319,112,3,2.5,2,8.71,1
HIGH,326,112,3,3.5,3,9.1,1
HIGH,333,118,5,5,5,9.35,1
HIGH,339,114,5,4,4.5,9.76,1
MED,303,105,5,5,4.5,8.65,0
MED,309,105,5,3.5,3.5,8.56,0
HIGH,323,112,5,4,4.5,8.78,0
HIGH,333,113,5,4,4,9.28,1
HIGH,314,109,4,3.5,4,8.77,1
MED,312,103,3,5,4,8.45,0
MED,316,100,2,1.5,3,8.16,1
HIGH,326,116,2,4.5,3,9.08,1
MED,318,109,1,3.5,3.5,9.12,0
HIGH,329,110,2,4,3,9.15,1
HIGH,332,118,2,4.5,3.5,9.36,1
HIGH,331,115,5,4,3.5,9.44,1
HIGH,340,120,4,4.5,4,9.92,1
HIGH,325,112,2,3,3.5,8.96,1
HIGH,320,113,2,2,2.5,8.64,1
MED,315,105,3,2,2.5,8.48,0
HIGH,326,114,3,3,3,9.11,1
HIGH,339,116,4,4,3.5,9.8,1
HIGH,311,106,2,3.5,3,8.26,1
HIGH,334,114,4,4,4,9.43,1
HIGH,332,116,5,5,5,9.28,1
HIGH,321,112,5,5,5,9.06,1
HIGH,324,105,3,3,4,8.75,0
HIGH,326,108,3,3,3.5,8.89,0
MED,312,109,3,3,3,8.69,0
MED,315,105,3,2,2.5,8.34,0
LOW,309,104,2,2,2.5,8.26,0
LOW,306,106,2,2,2.5,8.14,0
LOW,297,100,1,1.5,2,7.9,0
LOW,315,103,1,1.5,2,7.86,0
HIGH,298,99,1,1.5,3,7.46,0
MED,318,109,3,3,3,8.5,0
MED,317,105,3,3.5,3,8.56,0
HIGH,329,111,4,4.5,4,9.01,1
MED,322,110,5,4.5,4,8.97,0
LOW,302,102,3,3.5,5,8.33,0
LOW,313,102,3,2,3,8.27,0
LOW,293,97,2,2,4,7.8,1
LOW,311,99,2,2.5,3,7.98,0
MED,312,101,2,2.5,3.5,8.04,1
HIGH,334,117,5,4,4.5,9.07,1
HIGH,322,110,4,4,5,9.13,1
HIGH,323,113,4,4,4.5,9.23,1
HIGH,321,111,4,4,4,8.97,1
HIGH,320,111,4,4.5,3.5,8.87,1
HIGH,329,119,4,4.5,4.5,9.16,1
HIGH,319,110,3,3.5,3.5,9.04,0
MED,309,108,3,2.5,3,8.12,0
MED,307,102,3,3,3,8.27,0
MED,300,104,3,3.5,3,8.16,0
MED,305,107,2,2.5,2.5,8.42,0
MED,299,100,2,3,3.5,7.88,0
MED,314,110,3,4,4,8.8,0
MED,316,106,2,2.5,4,8.32,0
HIGH,327,113,4,4.5,4.5,9.11,1
HIGH,317,107,3,3.5,3,8.68,1
HIGH,335,118,5,4.5,3.5,9.44,1
HIGH,331,115,5,4.5,3.5,9.36,1
HIGH,324,112,5,5,5,9.08,1
HIGH,324,111,5,4.5,4,9.16,1
HIGH,323,110,5,4,5,8.98,1
HIGH,322,114,5,4.5,4,8.94,1
